ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"100nF"	"C1"	"C0201"	"1"	"C0201X7R100-104KNP"	"Venkel"	"LCSC"	"C3871673"	"0.009"
"2"	"22uF"	"C2"	"C0603"	"1"	"CGA0603X5R226M6R3JT"	"HRE(芯声)"	"LCSC"	"C6119880"	"0.034"
"3"	"100nF"	"U7"	"C0603"	"1"	"AM03B104K500AT"	"FH(风华)"	"LCSC"	"C20624283"	"0.008"
"4"	"5.1kΩ"	"R1,R2"	"R0402"	"2"	"HQ02WAF5101TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C2791532"	"0.002"
"5"	"10kΩ"	"R3"	"R0603"	"1"	"CPF0603B10KE1"	"TE Connectivity(泰科电子)"	"LCSC"	"C4109781"	"0.265"
"6"	"ESP32-S3-WROOM-1-N8"	"U2"	"WIFIM-SMD_ESP32-S3-WROOM-1-N8"	"1"	"ESP32-S3-WROOM-1-N8"	"ESPRESSIF(乐鑫)"	"LCSC"	"C2913198"	"4.773"
"7"	"AP2112K-3.3TRG1"	"U6"	"SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL"	"1"	"AP2112K-3.3TRG1"	"DIODES(美台)"	"LCSC"	"C51118"	"0.158"
"8"	"UCR06-8161K-00BR"	"USB1"	"TYPE-C-SMD_TYPE-C-16P-3MD-040"	"1"	"UCR06-8161K-00BR"	"null"	"LCSC"	"C9900214533"	""
"9"	"E6C0603URAC1UDA"	"LED1"	"LED0603-R-RD"	"1"	"E6C0603URAC1UDA"	"ekinglux(亿晶源)"	"LCSC"	"C375444"	"0.016"
"10"	"1kΩ"	"R4"	"R0402"	"1"	"ARG02DTC1001"	"Viking(光颉)"	"LCSC"	"C5151916"	"0.009"
"11"	"REBOOTSW"	"U3"	"SW-SMD_L3.9-W3.0-P4.45"	"1"	"SW-PB"	"null"	"LCSC"	"C9900011101"	""
"12"	"BOOTSW"	"U4"	"SW-SMD_L3.9-W3.0-P4.45"	"1"	"SW-PB"	"null"	"LCSC"	"C9900011101"	""
